id,latitude,longitude,waste_kg,cluster
1,28.70891442073957,77.08894332991527,12,-1
2,28.71399771439576,77.0966105138114,25,-1
3,28.67991091976375,77.1175970971539,12,-1
4,28.690712840199605,77.06619636368963,13,-1
5,28.70005497847826,77.1000195350875,4,-1
6,28.71343271401337,77.07161547193775,22,-1
7,28.67610515136103,77.13854928104166,21,-1
8,28.737689926296063,77.09463733132618,15,-1
9,28.729534586543817,77.10363476868581,5,-1
10,28.67527712468241,77.08093446934187,14,-1
11,28.66805285183172,77.09186363891668,21,-1
12,28.74653955579032,77.14175217902991,17,-1
13,28.671291511334307,77.12670715182432,20,-1
14,28.664813943815258,77.14649272075461,25,-1
15,28.730293613317592,77.08665328605939,30,-1
16,28.714591225032557,77.0829238347382,28,-1
17,28.67169257471752,77.06369071554676,7,-1
18,28.722655540500867,77.07632682324716,21,-1
19,28.716823803300105,77.13531951197471,4,-1
20,28.706419951267087,77.12621258635245,23,-1
21,28.661018254992555,77.11110796429823,29,-1
22,28.678367266947472,77.09767942324102,7,-1
23,28.66704690242532,77.07063973734391,17,-1
24,28.668367603449152,77.07956689265909,13,-1
25,28.690149079538752,77.0584162471598,9,-1
26,28.69380809505371,77.13295083373275,17,-1
27,28.738598863152166,77.11908572827215,11,-1
28,28.701575314384574,77.10081745266234,6,-1
29,28.6609028894778,77.0783108706495,26,-1
30,28.678397367419848,77.06573401709083,9,-1
31,28.706444179605832,77.08147361148798,30,-1
32,28.665291611528687,77.12569427393366,21,-1
33,28.74830316344412,77.0904498907039,22,-1
34,28.70595224318079,77.14301393762972,24,-1
35,28.699969871929618,77.05964977893869,21,-1
36,28.725116073353743,77.08539035212544,7,-1
37,28.684291997229305,77.14584905813076,13,-1
38,28.712699234101745,77.12099648482959,25,-1
39,28.66190508638762,77.12708537076153,19,-1
40,28.674813128687138,77.13938440666452,9,-1
41,28.734010176726343,77.11758317567111,13,-1
42,28.70578589754353,77.06713203359048,12,-1
43,28.70202360081438,77.06074134309675,4,-1
44,28.66565946562525,77.14374388150752,21,-1
45,28.665082811440744,77.11368575938107,13,-1
46,28.664285455418486,77.09305871046011,30,-1
47,28.690212091878266,77.11358921056008,7,-1
48,28.718703558426512,77.10893160872811,6,-1
49,28.69839067065615,77.1097557413302,18,-1
50,28.70592498182435,77.10921033326201,6,-1
51,28.713018655332476,77.12202138207661,27,-1
52,28.672833127594377,77.0607308688644,14,-1
53,28.69298962635716,77.11987220661591,19,-1
54,28.731805191677488,77.11199347309608,11,-1
55,28.738613187961857,77.12095025977403,30,-1
56,28.665534169000985,77.11695076377424,5,-1
57,28.675400156749284,77.08431044228139,20,-1
58,28.72163982588901,77.1386519477396,24,-1
59,28.722847682545467,77.06959289187645,19,-1
60,28.71612394757654,77.10839966703489,12,-1
61,28.668059072984583,77.13081956004048,3,-1
62,28.724546748913824,77.07516852099151,8,-1
63,28.71403199884088,77.1424356315164,27,-1
64,28.69165470194431,77.10831954408042,22,-1
65,28.667205381911813,77.11143980292279,4,-1
66,28.7452963277368,77.07407383301161,5,-1
67,28.663819557315797,77.06853108417806,26,-1
68,28.741545926888108,77.1436845559459,19,-1
69,28.68148056268496,77.09803326031611,12,-1
70,28.6907959323469,77.14237358727325,8,-1
71,28.6938015820395,77.0689809897576,23,-1
72,28.74725602825172,77.14448069461105,21,-1
73,28.6882760897792,77.14034844767595,5,-1
74,28.70550612209316,77.07269598910449,10,-1
75,28.669392668877133,77.14099928325308,28,-1
76,28.74257837163406,77.07885914086745,26,-1
77,28.73399563472174,77.12738107620748,11,-1
78,28.68339181367697,77.10775303035932,15,-1
79,28.70130959604515,77.10546300791536,17,-1
80,28.66678638596529,77.09958817999593,14,-1
81,28.66107917703633,77.12975466948649,9,-1
82,28.66472652286052,77.13984955704368,5,-1
83,28.713046746352088,77.09850593489553,11,-1
84,28.679570185922877,77.08455194559329,29,-1
85,28.672476969139165,77.08787559620764,6,-1
86,28.690467004650017,77.07301417689938,23,-1
87,28.707138530206368,77.11339392713609,29,-1
88,28.705673104657567,77.14740921029194,5,-1
89,28.73904977747825,77.14224699389061,16,-1
90,28.714421037910128,77.06263853402297,24,-1
91,28.73007630152289,77.1020919574835,13,-1
92,28.7229391808662,77.12666671847224,26,-1
93,28.66672339176061,77.09783756483327,26,-1
94,28.72801527337291,77.08575996620745,27,-1
95,28.740879398955336,77.08512924513388,17,-1
96,28.72623685584688,77.09778776989315,6,-1
97,28.68034614634476,77.06970011781377,12,-1
98,28.737223051975278,77.09314578886365,15,-1
99,28.66713049093777,77.12846969344476,3,-1
100,28.690599851186345,77.05939693880568,14,-1
101,28.73878498549826,77.06113973416882,21,-1
102,28.73960293051916,77.11423200379403,10,-1
103,28.69764601951065,77.13397213072305,20,-1
104,28.68289998144989,77.09868229204801,17,-1
105,28.676251684903804,77.08000579319719,29,-1
106,28.738513045389897,77.11492084683637,8,-1
107,28.743523877746103,77.13071175977127,24,-1
108,28.7143509249298,77.09600726223591,20,-1
109,28.675420613504524,77.09377145102067,20,-1
110,28.68827128733086,77.10172027762236,24,-1
111,28.69004048946365,77.07232577564321,23,-1
112,28.733129489118078,77.1405358064548,10,-1
113,28.72357928743051,77.10217604876746,3,-1
114,28.696072439070285,77.10506035105898,16,-1
115,28.68879257366547,77.08542912590157,7,-1
116,28.661401227060026,77.09714148242999,11,-1
117,28.66404696885624,77.12967653626218,26,-1
118,28.69638656112789,77.08646830271395,13,-1
119,28.71891720509144,77.0812860028093,14,-1
120,28.72495180358019,77.11867469665381,9,-1
121,28.683624510917586,77.11293636171635,14,-1
122,28.74557946879849,77.07227361738761,4,-1
123,28.6995481509583,77.11361310981495,27,-1
124,28.70295651992081,77.13362039208498,19,-1
125,28.744355571400973,77.12921884307707,28,-1
126,28.66062076717245,77.09382470873628,26,-1
127,28.69362197697805,77.13547826679483,25,-1
128,28.694948882565267,77.09832576144419,6,-1
129,28.717883251511275,77.08129293433069,14,-1
130,28.68478752853858,77.0622915352852,19,-1
131,28.703042629355625,77.12968253848938,26,-1
132,28.72944145238788,77.13522507067273,19,-1
133,28.681770843659294,77.104652706735,27,-1
134,28.71934374305044,77.10810884758628,27,-1
135,28.735122257179462,77.11805105711824,27,-1
136,28.666658204485927,77.06604779183058,12,-1
137,28.735807834663337,77.1111871322539,20,-1
138,28.69926405477278,77.08592164948378,28,-1
139,28.665947748880832,77.08465203492287,22,-1
140,28.68878432004467,77.10094655192424,25,-1
141,28.741728405367702,77.11173629696094,8,-1
142,28.706655829585237,77.06603199938606,15,-1
143,28.73954012739704,77.11288426580263,13,-1
144,28.74862911752293,77.14072680108362,16,-1
145,28.726604473017865,77.13396792470785,12,-1
146,28.68605551807568,77.13435130894021,22,-1
