id,latitude,longitude,waste_kg
1,28.676859932414327,77.13853254202343,24
2,28.732095679489362,77.08666237339388,6
3,28.74619891327181,77.08715233572757,13
4,28.701572155981943,77.12778547804722,24
5,28.74824254555806,77.08890831947161,5
6,28.6786833160984,77.12832038839355,15
7,28.6713260441879,77.14233541585443,27
8,28.681756084985768,77.12363345872531,30
9,28.66611750157613,77.09652340688122,4
10,28.674163141684147,77.10655164289945,24
11,28.743298504071507,77.14702329108069,20
12,28.742723671655867,77.08723121721962,23
13,28.663163264455008,77.13699943618009,14
14,28.746719898804553,77.11543672398618,12
15,28.722255807115353,77.08332804059359,25
16,28.684899856285455,77.10980779627836,8
17,28.682924368328962,77.10655913958303,7
18,28.693343769235426,77.09230707515596,14
19,28.663689671871754,77.06049232449521,28
20,28.716023038861497,77.10925957122355,18
21,28.6613995692206,77.1301342712155,12
22,28.693931267145103,77.14051592585608,28
23,28.705658866175558,77.06944624792204,4
24,28.722033532162747,77.1289757396385,25
25,28.7060658299859,77.08352055389454,15
26,28.742138359527058,77.13055716876737,24
27,28.707270166359063,77.11905966196124,30
28,28.73923426353215,77.09914595097437,7
29,28.73772567577578,77.13299329506758,23
30,28.70921804643195,77.08581029482335,20
31,28.69050587760221,77.08489883124794,3
32,28.686620361313906,77.06559960005202,29
33,28.720039848457816,77.1355213064009,15
34,28.731017754402966,77.07968390168507,21
35,28.732914486588882,77.08344388292338,26
36,28.687569065913245,77.13417788965685,27
37,28.68551507381649,77.06929218270407,21
38,28.696767244778627,77.08938238355329,13
39,28.696428336463867,77.13308487659725,29
40,28.733684610943907,77.06685849029056,26
41,28.713492864328977,77.06420436200645,17
42,28.74476411463716,77.07706455211327,18
43,28.742366544216548,77.13715920590127,27
44,28.696817275839145,77.0784636563279,17
45,28.666323498689472,77.13848898463007,23
46,28.68612159193523,77.09724670300938,16
47,28.748904662987666,77.13416798693615,21
48,28.724858662955373,77.07777701451094,19
49,28.748698793122355,77.1475376941776,17
50,28.715452077087775,77.10480213093237,22
51,28.667439760233123,77.11762663714555,11
52,28.70199594935696,77.11607414476515,13
53,28.73229607362139,77.0787304185817,4
54,28.690015969563518,77.11086486901603,17
55,28.665470177164693,77.07293724424677,16
56,28.704477068916322,77.13547009092282,23
57,28.74363468366229,77.11619875111504,24
58,28.70396315887992,77.12443477195865,17
59,28.659502467419493,77.06861696712882,11
60,28.672622453231828,77.14612371879683,14
61,28.66999498039823,77.14710001506458,8
62,28.68233210191896,77.13808833870104,3
63,28.684247855636674,77.09263306541223,4
64,28.71180517422334,77.14574155710567,26
65,28.668133660444777,77.06428149730651,29
66,28.720347744701492,77.12570256196334,27
67,28.719094881511772,77.10896736336169,15
68,28.664770773465246,77.11990585305529,19
69,28.66916909071989,77.09071901687676,29
70,28.70489600290723,77.08529833211144,28
71,28.700927247411563,77.11701216625023,8
72,28.704724607195818,77.09084576920345,28
73,28.701219709175998,77.06930353120676,12
74,28.726937965220777,77.10223180467067,6
75,28.729864143200338,77.11765518861709,13
76,28.722675942366546,77.13035016437082,14
77,28.72442368723165,77.09336329850399,18
78,28.675623419210766,77.13544017764164,19
79,28.741888832185037,77.12371557020421,5
80,28.67206003289617,77.0756421087614,23
81,28.67590091995911,77.14487907328571,12
82,28.692802751849094,77.13454734908235,8
83,28.723306221270512,77.12696014268943,13
84,28.682654481543484,77.05926027624936,15
85,28.659997851674113,77.13405499567517,16
86,28.716587186468747,77.109829943088,5
87,28.720133930231032,77.07737597366697,21
88,28.686252005046413,77.09836455550115,13
89,28.67856999812265,77.14026275360834,22
90,28.726071361735226,77.08186078766161,5
91,28.74507267263793,77.10845474658589,25
92,28.682823748139192,77.09702117277374,5
93,28.744578157638152,77.057593852134,9
94,28.741748073147033,77.10557400208766,13
95,28.72424746988278,77.0592170703416,8
96,28.68383644205174,77.06292652046425,14
97,28.72291032635465,77.09784941550873,29
98,28.722977499855524,77.06896403125212,17
99,28.734908254222304,77.06243516601266,15
100,28.670509547971374,77.13816056986342,18
101,28.713535625532174,77.13785855085773,22
102,28.684244050693135,77.06031193872157,22
103,28.66638505630786,77.12970823687985,30
104,28.726376363228077,77.12000386029533,12
105,28.700284219198807,77.14744605220632,10
106,28.671706763217863,77.12610577870565,18
107,28.70130215197346,77.1026299921321,17
108,28.7350670728254,77.12479733502497,5
109,28.715667383082778,77.08235401043227,24
110,28.71286540778352,77.12339498183114,11
111,28.669725589816753,77.0923231296497,30
112,28.669525371978114,77.06975855425478,8
113,28.679274633808205,77.09560759554174,3
114,28.659423733099334,77.08596145561981,3
115,28.673380710496836,77.11444882139746,14
116,28.708709224289077,77.13866178174685,23
117,28.706263051089074,77.06642643956225,22
